Time,P,R,G,B,Occupant
51:57.5,253,6,17,68,N
51:58.1,253,5,17,68,N
51:58.6,255,5,16,67,N
51:59.0,254,5,17,67,N
51:59.6,254,5,17,68,N
52:00.1,252,5,17,68,N
52:00.5,254,5,17,67,N
52:01.1,254,5,17,68,N
52:01.6,253,5,17,67,N
52:02.1,255,5,17,67,N
52:02.6,254,5,17,68,N
52:03.1,253,5,17,67,N
52:03.6,253,5,17,67,N
52:04.1,253,5,17,67,N
52:04.6,180,58,50,108,Y
52:05.1,254,6,17,68,N
52:05.6,253,5,17,67,N
52:06.1,253,5,17,68,N
52:06.6,254,5,17,67,N
52:07.1,255,5,17,67,N
52:07.6,254,5,17,67,N
52:08.1,253,5,17,68,N
52:08.6,254,5,17,67,N
52:09.1,254,5,17,67,N
52:09.6,253,6,18,68,Y
52:10.1,254,5,17,68,N
52:10.6,254,5,17,67,N
52:11.1,253,5,17,67,N
52:11.6,253,5,17,67,N
52:12.1,254,5,17,67,N
52:12.6,253,5,17,68,N
52:13.1,253,6,18,70,Y
52:13.7,254,7,19,69,Y
52:14.2,253,5,17,67,N
52:14.6,253,5,17,68,N
52:15.2,253,5,17,68,N
52:15.7,254,6,18,69,Y
52:16.2,253,6,18,70,Y
52:16.7,254,5,17,68,N
52:17.2,253,5,17,67,N
52:17.7,255,5,17,68,N
52:18.2,254,5,17,67,N
52:18.7,254,5,17,68,N
52:19.2,247,11,22,74,Y
52:19.7,254,5,17,68,N
52:20.2,254,5,17,68,N
52:20.7,253,5,17,67,N
52:21.2,254,5,17,67,N
52:21.7,184,47,43,98,Y
52:22.2,254,5,17,67,N
52:22.7,253,5,17,67,N
52:23.2,253,5,17,67,N
52:23.7,255,5,17,67,N
52:24.2,254,5,17,68,N
52:24.7,254,5,17,67,N
52:25.2,253,5,17,69,N
52:25.8,239,22,26,76,Y
52:26.3,253,5,17,67,N
52:26.7,253,5,17,68,N
52:27.3,254,5,17,67,N
52:27.8,255,5,17,67,N
52:28.2,255,5,17,68,N
52:28.8,253,5,17,68,Y
52:29.3,254,9,20,71,Y
52:29.8,253,6,18,69,Y
52:30.3,254,5,17,68,N
52:30.8,253,5,17,69,N
52:31.3,254,5,17,68,N
52:31.8,253,5,17,68,N
52:32.3,254,5,17,68,N
52:32.8,255,5,17,67,N
52:33.3,254,6,17,68,N
52:33.8,254,5,17,68,N
52:34.3,254,5,17,66,N
52:34.8,254,5,17,68,N
52:35.3,253,5,18,68,Y
52:35.8,248,14,24,75,Y
52:36.3,253,5,17,68,N
52:36.8,253,5,17,68,N
52:37.3,252,8,18,69,Y
52:37.8,253,5,17,68,N
52:38.3,254,5,17,67,N
52:38.8,253,5,17,67,N
52:39.3,255,5,17,68,N
52:39.9,254,5,16,68,N
52:40.3,255,5,17,67,N
52:40.8,253,5,17,67,N
52:41.4,253,5,17,67,N
52:41.8,252,9,20,71,Y
52:42.3,254,5,17,69,N
52:42.9,254,5,17,67,N
52:43.4,254,5,17,68,N
52:43.8,254,5,17,67,N
52:44.4,253,5,17,67,N
52:44.9,253,5,17,68,N
52:45.4,255,5,17,68,N
52:45.9,253,5,17,67,N
52:46.4,254,5,17,68,N
52:46.9,146,101,66,126,Y
52:47.4,254,5,17,68,N
52:47.9,255,5,17,67,N
52:48.4,254,5,17,67,N
52:48.9,252,5,17,68,N
52:49.4,254,5,17,68,N
52:49.9,255,7,19,69,Y
52:50.4,253,6,18,70,Y
52:50.9,253,5,17,68,N
52:51.4,254,5,17,67,N
52:51.9,244,15,22,72,Y
52:52.4,254,5,17,69,N
52:52.9,254,5,17,69,N
52:53.4,254,5,17,68,N
52:53.9,253,6,18,69,Y
52:54.4,251,8,19,70,Y
52:54.9,253,5,17,68,N
52:55.4,254,5,17,68,N
52:55.9,248,11,20,71,Y
52:56.4,254,5,17,67,N
52:57.0,254,5,17,68,N
52:57.4,253,5,17,68,N
52:57.9,255,5,17,68,N
52:58.5,254,5,17,67,N
52:59.0,207,46,39,94,Y
52:59.4,254,5,17,68,N
53:00.0,254,5,17,67,N
53:00.5,245,21,25,75,Y
53:00.9,254,5,17,68,N
53:01.5,254,5,17,68,N
53:02.0,254,5,17,68,N
53:02.5,254,5,17,69,N
53:03.0,244,25,32,86,Y
53:03.5,254,5,17,67,N
53:04.0,253,5,17,67,N
53:04.5,249,8,18,69,Y
53:05.0,253,5,17,67,N
53:05.5,255,5,17,67,N
53:06.0,253,5,17,68,N
53:06.5,255,5,17,67,N
53:07.0,252,5,17,67,N
53:07.5,255,5,17,68,N
53:08.0,253,5,17,68,N
53:08.5,254,5,17,68,N
53:09.0,254,5,17,68,N
53:09.5,253,5,17,67,N
53:10.0,254,5,17,68,N
53:10.5,254,5,17,68,N
53:11.0,253,5,17,68,N
53:11.5,255,5,17,68,N
53:12.1,253,5,17,67,N
53:12.5,253,6,17,68,N
53:13.0,254,5,17,68,N
53:13.6,252,5,17,67,N
53:14.0,252,5,17,67,N
53:14.5,255,5,17,67,N
53:15.1,254,5,17,68,N
53:15.6,252,7,18,69,Y
53:16.1,254,5,17,67,N
53:16.6,253,5,17,68,N
53:17.1,254,5,17,67,N
53:17.6,253,5,17,67,N
53:18.1,254,5,16,67,N
53:18.6,254,5,16,68,N
53:19.1,254,5,16,67,N
53:19.6,253,6,18,68,Y
53:20.1,254,7,19,69,Y
53:20.6,254,5,17,68,N
53:21.1,254,5,17,67,N
53:21.6,253,5,17,67,N
53:22.1,250,11,21,71,Y
53:22.6,253,5,17,67,N
53:23.1,254,5,17,68,N
53:23.6,253,5,17,68,N
53:24.1,253,5,17,67,N
53:24.6,253,5,17,68,N
53:25.1,251,9,19,70,N
53:25.6,252,9,20,70,N
53:26.2,254,5,17,68,N
53:26.6,255,5,17,68,N
53:27.1,245,16,23,75,Y
53:27.7,254,5,17,67,N
53:28.2,253,5,17,68,N
53:28.6,253,5,17,68,N
53:29.2,253,5,17,67,N
53:29.7,253,5,17,67,N
53:30.2,254,5,17,67,N
53:30.7,255,5,17,67,N
53:31.2,247,10,20,70,Y
53:31.7,253,5,17,68,N
53:32.2,253,5,17,67,N
53:32.7,253,5,17,68,N
53:33.2,253,5,17,68,N
53:33.7,254,5,17,67,N
53:34.2,251,8,20,72,N
53:34.7,253,5,17,68,N
53:35.2,254,5,17,67,N
53:35.7,255,5,17,68,N
53:36.2,254,5,17,67,N
53:36.7,254,5,17,67,N
53:37.2,253,8,20,71,N
53:37.7,254,5,17,67,N
53:38.3,254,5,17,67,N
53:38.8,253,5,17,67,N
53:39.2,254,5,17,67,N
53:39.8,254,5,17,67,N
53:40.3,238,27,28,79,Y
53:40.7,254,5,17,68,N
53:41.2,253,5,17,67,N
53:41.8,253,5,17,68,N
53:42.3,254,5,17,68,N
53:42.7,255,5,17,68,N
53:43.3,255,5,17,68,N
53:43.8,254,5,17,67,N
53:44.3,253,5,17,68,N
53:44.8,252,11,20,71,Y
53:45.3,254,5,17,68,N
53:45.8,255,5,17,67,N
53:46.3,254,5,17,68,N
53:46.8,243,22,27,78,Y
53:47.3,253,5,17,68,N
53:47.8,253,5,17,67,N
53:48.3,253,5,17,67,N
53:48.8,253,5,17,68,N
53:49.3,253,5,17,67,N
53:49.8,253,5,17,68,N
53:50.3,230,34,32,86,Y
53:50.8,254,5,17,68,N
53:51.3,254,5,17,67,N
53:51.8,253,5,17,67,N
53:52.4,253,5,17,67,N
53:52.8,253,7,19,71,Y
53:53.3,253,5,17,67,N
53:53.9,254,5,17,68,N
53:54.4,253,5,17,67,N
53:54.8,253,5,17,68,N
53:55.4,253,5,17,68,N
53:55.9,254,5,17,67,N
53:56.4,179,81,57,113,Y
53:56.9,254,5,17,67,N
53:57.4,254,5,17,67,N
53:57.9,253,5,17,68,N
53:58.4,229,46,56,118,Y
53:58.9,254,5,17,68,N
53:59.4,252,5,17,67,N
53:59.9,252,6,18,70,Y
54:00.4,252,15,25,76,Y
54:00.9,254,5,17,68,N
54:01.4,254,5,17,68,N
54:01.9,254,5,17,67,N
54:02.4,162,92,74,137,Y
54:02.9,254,5,17,67,N
54:03.4,254,5,17,68,N
54:03.9,255,5,17,68,N
54:04.4,254,5,17,69,N
54:04.9,181,78,55,111,Y
54:05.4,254,5,17,67,N
54:05.9,254,5,17,68,N
54:06.5,253,5,17,67,N
54:06.9,254,5,17,68,N
54:07.4,251,12,24,77,Y
54:08.0,254,5,17,67,N
54:08.4,253,5,17,68,N
54:08.9,253,5,17,68,N
54:09.5,226,53,53,111,Y
54:10.0,254,5,17,68,N
54:10.4,253,5,17,67,N
54:11.0,255,5,17,68,N
54:11.5,191,59,45,101,Y
54:12.0,253,5,17,68,N
54:12.5,254,5,17,67,N
54:13.0,253,5,17,67,N
54:13.5,143,74,57,117,Y
54:14.0,253,5,17,67,N
54:14.5,254,5,17,67,N
54:15.0,254,5,17,68,N
54:15.5,253,6,18,69,N
54:16.0,254,6,18,69,N
54:16.5,253,5,17,68,N
54:17.0,255,5,17,68,N
54:17.5,225,55,45,102,Y
54:18.0,254,5,17,68,N
54:18.5,253,5,17,68,N
54:19.0,254,5,17,68,N
54:19.5,254,5,17,68,N
54:20.1,254,7,19,69,N
54:20.5,254,5,18,69,N
54:21.0,253,5,17,68,N
54:21.6,255,5,17,68,N
54:22.0,254,5,17,68,N
54:22.5,254,5,17,68,N
54:23.1,166,88,60,118,Y
54:23.6,255,5,17,68,N
54:24.0,254,5,17,67,N
54:24.6,254,5,17,68,N
54:25.1,253,5,17,67,N
54:25.6,253,5,17,67,N
54:26.1,255,7,19,70,Y
54:26.6,255,5,17,68,N
54:27.1,255,5,17,68,N
54:27.6,253,5,17,68,N
54:28.1,254,5,17,68,N
54:28.6,202,47,40,96,Y
54:29.1,254,5,17,68,N
54:29.6,254,5,17,68,N
54:30.1,254,5,17,67,N
54:30.6,253,5,17,68,N
54:31.1,205,55,43,97,Y
54:31.6,255,5,17,68,N
54:32.1,254,5,17,68,N
54:32.6,253,5,17,68,N
54:33.1,253,5,17,68,N
54:33.6,254,5,17,68,N
54:34.1,254,7,18,70,N
54:34.6,253,5,17,68,N
54:35.1,252,11,22,74,Y
54:35.7,254,5,17,68,N
54:36.1,253,5,17,68,N
54:36.6,253,5,17,68,N
54:37.2,254,5,17,67,N
54:37.7,254,5,17,68,N
54:38.1,249,9,21,72,Y
54:38.7,254,5,17,68,N
54:39.2,255,5,17,68,N
54:39.7,255,5,17,68,N
54:40.2,253,5,17,68,N
54:40.7,253,5,17,69,N
54:41.2,237,30,30,81,Y
54:41.7,254,5,17,67,N
54:42.2,254,5,17,67,N
54:42.7,252,5,17,69,N
54:43.2,253,5,17,67,N
54:43.7,254,5,17,67,N
54:44.2,253,7,19,70,Y
54:44.7,253,5,17,69,N
54:45.2,253,5,17,68,N
54:45.7,253,5,17,68,N
54:46.2,253,6,18,69,N
54:46.7,251,9,20,70,N
54:47.2,254,5,17,67,N
54:47.7,252,5,17,68,N
54:48.2,253,5,17,67,N
54:48.7,254,5,17,67,N
54:49.2,254,5,17,69,N
54:49.7,253,5,17,68,N
54:50.2,253,5,17,67,N
54:50.7,254,5,17,68,N
54:51.3,252,7,18,68,N
54:51.7,255,5,17,68,N
54:52.2,253,5,17,68,N
54:52.8,242,19,24,74,Y
54:53.3,254,5,17,67,N
54:53.8,255,5,17,67,N
54:54.3,243,14,22,73,Y
54:54.8,254,5,17,69,N
54:55.3,253,5,17,69,N
54:55.8,253,5,17,68,N
54:56.3,253,5,17,67,N
54:56.8,255,5,17,67,N
54:57.3,254,5,17,67,N
54:57.8,253,6,17,69,N
54:58.3,254,5,17,68,N
54:58.8,255,5,17,69,N
54:59.3,254,5,17,68,N
54:59.8,254,5,17,68,N
55:00.3,253,6,17,68,N
55:00.8,253,5,17,67,N
55:01.3,253,5,17,68,N
55:01.8,255,5,17,67,N
55:02.3,251,7,18,68,Y
55:02.8,253,5,17,67,N
55:03.4,254,5,17,69,N
55:03.9,253,5,17,68,N
55:04.4,252,5,17,67,N
55:04.9,248,11,20,70,Y
55:05.4,254,5,17,67,N
55:05.9,253,5,17,68,N
55:06.4,255,5,17,67,N
55:06.9,253,5,17,67,N
55:07.4,255,5,17,68,N
